fecha,tarea,pantalla,modelo,tokens_in,tokens_out,coste_usd,intentos,minutos,ficheros,cache_hit_pct,escalado_a_humano,checks_inejecutables,corrida,primer_intento_limpio,resultado
2026-08-05,SP-1,INV-01,deepseek-v4-flash,18767,8192,0.004921,0,0.9,-,0.00,no,C0,-,-,trunc-maxtokens (bug de arnes: max_tokens 8192 bajo para modelo de razonamiento; no cuenta como intento del modelo). Sin artefacto: coste desperdiciado
2026-08-05,SP-1,INV-01,deepseek-v4-flash,18767,12563,0.003581,1,1.1,InventoryTable.tsx;InventoryTable.module.css,99.58,no,-,-,-,PASA 5/5 (C1/C2/C4 pass; C3 pass con matiz -rojo #ef4444-; C5 pass PO). AVISO DE COSTE: 99.6% cache hit (18688 hit / 79 miss) porque el system prompt se reuso del intento truncado; NO es representativo del coste por pantalla en frio. Con estos mismos tokens y 0% cache seria ~0.006145 USD (x1.7). Para extrapolar a V1 usar la cifra en frio
2026-08-07,SIEMBRA-1,catalogo-demo,deepseek-v4-flash,4986,43679,0.012928,1,4.1,catalog_demo.sql,0.00,no,-,-,-,PASA al primer intento (27/27 asertos escritos a mano; ninguna correccion al artefacto). COSTE EN FRIO: 0% cache hit — es la primera cifra del proyecto extrapolable a V1; la de SP-1 llevaba 99.58% de cache y no lo era. 215 filas / 72 referencias / 49 con solape entre organizaciones
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,15333,36517,0.012371,1,3.9,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,0.00,no,C1;C2,-,-,FALLA 1/4 (verde: C3 / rojo: C1;C2;C4). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,15528,41430,0.011684,2,4.6,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,98.09,no,C1;C2,-,-,FALLA 1/4 (verde: C3 / rojo: C1;C2;C4). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,15540,37295,0.010493,3,4.2,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,99.67,si,C1;C2,-,-,ESCALADO 1/4 (verde: C3 / rojo: C1;C2;C4). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,18452,41253,0.014134,1,3.9,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,0.00,no,C2,-,-,FALLA 2/4 (verde: C3;C4 / rojo: C1;C2). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,20071,41634,0.011939,2,7.7,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,91.83,no,C2,-,-,FALLA 2/4 (verde: C3;C4 / rojo: C1;C2). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,19003,30783,0.008751,3,3.3,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,97.00,si,C2,-,-,ESCALADO 2/4 (verde: C3;C4 / rojo: C1;C2). C5 lo da el PO
2026-08-10,MSG-01,MSG-01,deepseek-v4-flash,18748,47669,0.015972,1,5.6,app/src/screens/messages/Messages.module.css;app/src/screens/messages/Messages.tsx;app/src/screens/messages/ThreadList.module.css;app/src/screens/messages/ThreadList.tsx,0.00,no,-,-,-,FALLA 2/4 (verde: C3;C4 / rojo: C1;C2). C5 lo da el PO
