fecha,tarea,corrida,commit_artefacto,commit_revision,ficheros,lineas_artefacto,lineas_anadidas,lineas_quitadas,ficheros_tocados,ficheros_sin_tocar,nota
2026-08-09,MSG-01,corrida-03,a31dfe3,ccdbeed,4,695,171,145,4,0,escalado 3/3
2026-08-10,SRCH-01,corrida-01,3ead525,-,6,1076,0,0,0,6,"escalado 3/3 · sustituida por la corrida 2, sin revision"
2026-08-10,SRCH-01,corrida-02,548d7b8,9608eae,6,1089,64,13,3,3,escalado 3/3
2026-08-11,MSG-02,corrida-01,2585caf,c34d473,8,1294,68,55,2,6,escalado 3/3
2026-08-12,VND-01,bucle-roto,9682dd3,94e0579,4,652,39,4,2,2,escalado 3/3 · bucle F-064 sin arreglar
2026-08-12,VND-01,bucle-arreglado,8e8beae,-,4,629,0,0,0,4,VERDE en 2 · mismo task y contrato que la de arriba
2026-08-12,LOGIN-01,corrida-01,cf74fab,ab1844b,2,241,8,2,1,1,VERDE en 1
2026-09-21,FORO-02,primera-corrida,64f8b90,de20c33+9850b89,2,641,16,77,2,0,"PASA 4/4 al primer intento · C5 dado el 21-sep · F-172 (estandar de buscador, decision del PO, +11/-77) y F-186 (scroll, +5/-0) cuentan como correccion por decision del PO · NO cuenta 21b3d53 (cableado de la navegacion a FORO-03, +12/-11)"
2026-09-21,FORO-03,primera-corrida,c6414ac,9850b89,2,752,6,0,1,1,"escalado 3/3 por el contrato de aceptacion (F-174) no por el artefacto · no cuenta para la cifra 2 (decision del PO, 21-sep) · C5 dado el 21-sep · F-186 (scroll, +6/-0 en ForumThread.module.css)"
2026-09-20,ADMIN-02,brazo-deepseek,993db73,-,8,1594,0,0,0,8,"escalado 3/3 por el contrato de aceptacion (F-183) no por el artefacto: cero lineas tocadas y 15/15 de e2e tras corregir el test · C5 dado por el PO el 21-sep («aprobada total») · la escalada no cuenta para la cifra 2 (decisión del PO, 21-sep; UMBRAL §5.3)"
2026-09-20,ADMIN-02,brazo-atria,0cb4fa7,-,8,1541,0,0,0,8,VERDE en 2 · experimento de dos brazos: no se fusiona · contrato de aceptacion ya corregido (F-183) a diferencia del brazo deepseek
2026-09-24,SRCH-03,corrida-03,ccbf187,-,8,1279,0,0,0,8,"VERDE en 2 intentos (intento 1: C1 y C2 rojos) · 0 lineas tocadas · corridas 01 (F-193 entorno) y 02 (F-194 contrato) escaladas por causas ajenas al Coder y NO cuentan para la cifra 2 · coste de la corrida valida 0.085 USD; con las dos invalidas 0.318 USD · el Coder cumplio por si solo la restriccion de scroll propio (F-198) · C5 PENDIENTE del PO"
2026-09-24,INV-07,corrida-04,3415b2f,3de26e4,4,943,9,2,2,2,"VERDE en 2 intentos (intento 1: C2 rojo) · TOCADAS +9/-2 (1.2 %) en ExclusionPanel.tsx/.css para alinear la fila geografica con el diseño aprobado (F-209) · el desplegable de d02f3fb se revirtio por orden del PO (F-206): la revision del PO del 24-sep cambio el desplegable a mano (d02f3fb, +72/-22) y el PO pidio REVERTIRLO (sin cambios esteticos), asi que el frontend final es el del Coder tal cual (F-206) · antes de la revision: 0 lineas · corridas 01 a 03 escaladas por causas ajenas al artefacto (F-199 regex de scroll rota por el heredoc, F-200 contrato/e2e fragil y un error de tipos real del Coder en el intento 3 de la 03) y NO cuentan para la cifra 2 · coste de la valida 0.076 USD; con las cuatro 0.622 USD · cifras 7 y 8 NO limpias (F-205) · C5 PENDIENTE del PO"
2026-09-24,SRCH-02,corrida-01,d29d791,-,4,732,0,0,0,4,"VERDE AL PRIMER INTENTO · 0 lineas tocadas · una sola corrida, sin invalidas · coste 0.043 USD · cifras 7 y 8 NO limpias (F-205) · C5 PENDIENTE del PO"
